Timestamp,RUB=X
03/05/2012,29.3302001953125
03/06/2012,29.338199615478516
03/07/2012,29.632200241088867
03/08/2012,29.60919952392578
03/09/2012,29.34119987487793
03/12/2012,29.451200485229492
03/13/2012,29.60219955444336
03/14/2012,29.422199249267578
03/15/2012,29.565200805664062
03/16/2012,29.41819953918457
03/19/2012,29.211200714111328
03/20/2012,29.099199295043945
03/21/2012,29.235200881958008
03/22/2012,29.253999710083008
03/23/2012,29.43320083618164
03/25/2012,29.27120018005371
03/26/2012,28.949199676513672
03/27/2012,29.031200408935547
03/28/2012,29.358200073242188
03/29/2012,29.406200408935547
04/01/2012,29.336200714111328
04/02/2012,29.28219985961914
04/03/2012,29.2731990814209
04/04/2012,29.427200317382812
04/05/2012,29.379199981689453
04/08/2012,29.541200637817383
04/09/2012,29.595199584960938
04/10/2012,29.82819938659668
04/11/2012,29.610200881958008
04/12/2012,29.3981990814209
04/15/2012,29.629199981689453
04/16/2012,29.586200714111328
04/17/2012,29.4862003326416
04/18/2012,29.489200592041016
04/19/2012,29.47719955444336
04/22/2012,29.43549919128418
04/23/2012,29.470199584960938
04/24/2012,29.344200134277344
04/25/2012,29.338199615478516
04/26/2012,29.309200286865234
04/29/2012,29.270200729370117
04/30/2012,29.322999954223633
05/01/2012,29.322999954223633
05/02/2012,29.416200637817383
05/03/2012,29.51919937133789
05/06/2012,29.748699188232422
05/07/2012,29.965200424194336
05/08/2012,30.118799209594727
05/09/2012,30.344499588012695
05/10/2012,30.137399673461914
05/13/2012,30.134700775146484
05/14/2012,30.37420082092285
05/15/2012,30.66790008544922
05/16/2012,30.98900032043457
05/17/2012,31.054399490356445
05/20/2012,31.23419952392578
05/21/2012,31.076200485229492
05/22/2012,31.318199157714844
05/23/2012,31.712200164794922
05/24/2012,31.75320053100586
05/27/2012,32.049198150634766
05/28/2012,32.07320022583008
05/29/2012,31.9950008392334
05/30/2012,32.79970169067383
05/31/2012,33.38529968261719
06/03/2012,33.64619827270508
06/04/2012,33.44820022583008
06/05/2012,33.05860137939453
06/06/2012,32.25419998168945
06/07/2012,32.41419982910156
06/10/2012,32.04119873046875
06/11/2012,32.573699951171875
06/12/2012,32.87120056152344
06/13/2012,32.45650100708008
06/14/2012,32.37820053100586
06/17/2012,32.327999114990234
06/18/2012,32.38990020751953
06/19/2012,32.34260177612305
06/20/2012,32.558101654052734
06/21/2012,33.277198791503906
06/24/2012,33.09320068359375
06/25/2012,33.15420150756836
06/26/2012,32.81669998168945
06/27/2012,32.91419982910156
06/28/2012,33.079200744628906
07/01/2012,32.27920150756836
07/02/2012,32.55730056762695
07/03/2012,32.04819869995117
07/04/2012,32.3380012512207
07/05/2012,32.513999938964844
07/08/2012,32.86389923095703
07/09/2012,32.786800384521484
07/10/2012,32.93220138549805
07/11/2012,32.684600830078125
07/12/2012,32.7400016784668
07/15/2012,32.52320098876953
07/16/2012,32.51190185546875
07/17/2012,32.33209991455078
07/18/2012,32.23400115966797
07/19/2012,31.81920051574707
07/22/2012,32.01539993286133
07/23/2012,32.633399963378906
07/24/2012,32.941200256347656
07/25/2012,32.6870002746582
07/26/2012,32.33679962158203
07/29/2012,32.02690124511719
07/30/2012,32.158199310302734
07/31/2012,32.200199127197266
08/01/2012,32.40019989013672
08/02/2012,32.62810134887695
08/05/2012,31.954999923706055
08/06/2012,31.574199676513672
08/07/2012,31.531700134277344
08/08/2012,31.48870086669922
08/09/2012,31.66819953918457
08/12/2012,31.801000595092773
08/13/2012,31.832199096679688
08/14/2012,31.815099716186523
08/15/2012,31.80940055847168
08/16/2012,31.78019905090332
08/19/2012,31.987199783325195
08/20/2012,31.982200622558594
08/21/2012,31.746999740600586
08/22/2012,31.700199127197266
08/23/2012,31.696800231933594
08/26/2012,31.792999267578125
08/27/2012,31.858200073242188
08/28/2012,31.974000930786133
08/29/2012,32.170101165771484
08/30/2012,32.5359992980957
09/02/2012,32.237998962402344
09/03/2012,32.265201568603516
09/04/2012,32.334999084472656
09/05/2012,32.23820114135742
09/06/2012,31.93720054626465
09/09/2012,31.69700050354004
09/10/2012,31.68239974975586
09/11/2012,31.491199493408203
09/12/2012,31.42919921875
09/13/2012,31.059999465942383
09/16/2012,30.4960994720459
09/17/2012,30.640199661254883
09/18/2012,30.96619987487793
09/19/2012,31.146799087524414
09/20/2012,31.10420036315918
09/23/2012,31.00469970703125
09/24/2012,31.117000579833984
09/25/2012,31.172700881958008
09/26/2012,31.297199249267578
09/27/2012,30.95319938659668
09/30/2012,31.222200393676758
10/01/2012,31.166200637817383
10/02/2012,31.149999618530273
10/03/2012,31.16819953918457
10/04/2012,30.95400047302246
10/07/2012,31.006200790405273
10/08/2012,31.094200134277344
10/09/2012,31.141199111938477
10/10/2012,31.115100860595703
10/11/2012,31.034000396728516
10/14/2012,31.060300827026367
10/15/2012,30.963199615478516
10/16/2012,30.771799087524414
10/17/2012,30.733200073242188
10/18/2012,30.76020050048828
10/21/2012,30.896099090576172
10/22/2012,31.0802001953125
10/23/2012,31.355600357055664
10/24/2012,31.40999984741211
10/25/2012,31.32819938659668
10/29/2012,31.349199295043945
10/30/2012,31.439800262451172
10/31/2012,31.37420082092285
11/01/2012,31.280000686645508
11/02/2012,31.23419952392578
11/05/2012,31.4552001953125
11/06/2012,31.567899703979492
11/07/2012,31.34119987487793
11/08/2012,31.52790069580078
11/09/2012,31.482200622558594
11/12/2012,31.53820037841797
11/13/2012,31.660999298095703
11/14/2012,31.692699432373047
11/15/2012,31.650400161743164
11/16/2012,31.630199432373047
